configuration,configuration_label,model,outer_fold,accuracy,balanced_accuracy,precision_risk,recall_risk,f1_risk
A,With first- and second-period grades,Naive baseline,1,0.9240506329113924,0.933599419448476,0.8333333333333334,0.9615384615384616,0.8928571428571429
A,With first- and second-period grades,Logistic Regression,1,0.8734177215189873,0.886066763425254,0.75,0.9230769230769231,0.8275862068965517
A,With first- and second-period grades,Decision Tree,1,0.8860759493670886,0.895500725689405,0.7741935483870968,0.9230769230769231,0.8421052631578947
A,With first- and second-period grades,Random Forest,1,0.9113924050632911,0.9143686502177069,0.8275862068965517,0.9230769230769231,0.8727272727272727
A,With first- and second-period grades,Naive baseline,2,0.9493670886075949,0.9524673439767779,0.8928571428571429,0.9615384615384616,0.9259259259259259
A,With first- and second-period grades,Logistic Regression,2,0.8734177215189873,0.8664731494920175,0.7857142857142857,0.8461538461538461,0.8148148148148148
A,With first- and second-period grades,Decision Tree,2,0.9367088607594937,0.9332365747460087,0.8888888888888888,0.9230769230769231,0.9056603773584906
A,With first- and second-period grades,Random Forest,2,0.9493670886075949,0.9524673439767779,0.8928571428571429,0.9615384615384616,0.9259259259259259
A,With first- and second-period grades,Naive baseline,3,0.8860759493670886,0.8759071117561683,0.8148148148148148,0.8461538461538461,0.8301886792452831
A,With first- and second-period grades,Logistic Regression,3,0.9367088607594937,0.9332365747460087,0.8888888888888888,0.9230769230769231,0.9056603773584906
A,With first- and second-period grades,Decision Tree,3,0.8860759493670886,0.8857039187227866,0.7931034482758621,0.8846153846153846,0.8363636363636363
A,With first- and second-period grades,Random Forest,3,0.8860759493670886,0.8759071117561683,0.8148148148148148,0.8461538461538461,0.8301886792452831
A,With first- and second-period grades,Naive baseline,4,0.9240506329113924,0.933599419448476,0.8333333333333334,0.9615384615384616,0.8928571428571429
A,With first- and second-period grades,Logistic Regression,4,0.9240506329113924,0.9140058055152395,0.8846153846153846,0.8846153846153846,0.8846153846153846
A,With first- and second-period grades,Decision Tree,4,0.9113924050632911,0.9241654571843252,0.8064516129032258,0.9615384615384616,0.8771929824561403
A,With first- and second-period grades,Random Forest,4,0.9240506329113924,0.933599419448476,0.8333333333333334,0.9615384615384616,0.8928571428571429
A,With first- and second-period grades,Naive baseline,5,0.9113924050632911,0.9241654571843252,0.8064516129032258,0.9615384615384616,0.8771929824561403
A,With first- and second-period grades,Logistic Regression,5,0.9113924050632911,0.9241654571843252,0.8064516129032258,0.9615384615384616,0.8771929824561403
A,With first- and second-period grades,Decision Tree,5,0.8227848101265823,0.8483309143686503,0.6666666666666666,0.9230769230769231,0.7741935483870968
A,With first- and second-period grades,Random Forest,5,0.8987341772151899,0.9147314949201741,0.78125,0.9615384615384616,0.8620689655172413
B,With first-period grade only,Naive baseline,1,0.8354430379746836,0.8185776487663281,0.7407407407407407,0.7692307692307693,0.7547169811320755
B,With first-period grade only,Logistic Regression,1,0.8227848101265823,0.8287373004354137,0.6875,0.8461538461538461,0.7586206896551724
B,With first-period grade only,Decision Tree,1,0.810126582278481,0.8388969521044993,0.6486486486486487,0.9230769230769231,0.7619047619047619
B,With first-period grade only,Random Forest,1,0.7974683544303798,0.8000725689404935,0.65625,0.8076923076923077,0.7241379310344828
B,With first-period grade only,Naive baseline,2,0.8860759493670886,0.895500725689405,0.7741935483870968,0.9230769230769231,0.8421052631578947
B,With first-period grade only,Logistic Regression,2,0.8354430379746836,0.8283744557329463,0.7241379310344828,0.8076923076923077,0.7636363636363637
B,With first-period grade only,Decision Tree,2,0.7721518987341772,0.8301886792452831,0.5909090909090909,1.0,0.7428571428571429
B,With first-period grade only,Random Forest,2,0.7848101265822784,0.7612481857764877,0.6666666666666666,0.6923076923076923,0.6792452830188679
B,With first-period grade only,Naive baseline,3,0.810126582278481,0.7703193033381712,0.7391304347826086,0.6538461538461539,0.6938775510204082
B,With first-period grade only,Logistic Regression,3,0.7974683544303798,0.7902757619738752,0.6666666666666666,0.7692307692307693,0.7142857142857143
B,With first-period grade only,Decision Tree,3,0.7721518987341772,0.8105950653120464,0.6,0.9230769230769231,0.7272727272727273
B,With first-period grade only,Random Forest,3,0.810126582278481,0.7997097242380262,0.6896551724137931,0.7692307692307693,0.7272727272727273
B,With first-period grade only,Naive baseline,4,0.810126582278481,0.7997097242380262,0.6896551724137931,0.7692307692307693,0.7272727272727273
B,With first-period grade only,Logistic Regression,4,0.8734177215189873,0.886066763425254,0.75,0.9230769230769231,0.8275862068965517
B,With first-period grade only,Decision Tree,4,0.810126582278481,0.7899129172714079,0.7037037037037037,0.7307692307692307,0.7169811320754716
B,With first-period grade only,Random Forest,4,0.8607594936708861,0.8668359941944848,0.7419354838709677,0.8846153846153846,0.8070175438596491
B,With first-period grade only,Naive baseline,5,0.8481012658227848,0.8574020319303338,0.71875,0.8846153846153846,0.7931034482758621
B,With first-period grade only,Logistic Regression,5,0.8607594936708861,0.8766328011611031,0.7272727272727273,0.9230769230769231,0.8135593220338984
B,With first-period grade only,Decision Tree,5,0.7974683544303798,0.8490566037735849,0.6190476190476191,1.0,0.7647058823529411
B,With first-period grade only,Random Forest,5,0.8481012658227848,0.8280116110304789,0.7692307692307693,0.7692307692307693,0.7692307692307693
C,Without first- or second-period grades,Naive baseline,1,0.6708860759493671,0.5,0.0,0.0,0.0
C,Without first- or second-period grades,Logistic Regression,1,0.5949367088607594,0.5413642960812772,0.38461538461538464,0.38461538461538464,0.38461538461538464
C,Without first- or second-period grades,Decision Tree,1,0.6455696202531646,0.6280841799709724,0.46875,0.5769230769230769,0.5172413793103449
C,Without first- or second-period grades,Random Forest,1,0.6708860759493671,0.6273584905660378,0.5,0.5,0.5
C,Without first- or second-period grades,Naive baseline,2,0.6708860759493671,0.5,0.0,0.0,0.0
C,Without first- or second-period grades,Logistic Regression,2,0.5822784810126582,0.5613207547169812,0.3939393939393939,0.5,0.4406779661016949
C,Without first- or second-period grades,Decision Tree,2,0.620253164556962,0.5994194484760522,0.4375,0.5384615384615384,0.4827586206896552
C,Without first- or second-period grades,Random Forest,2,0.7088607594936709,0.6262699564586357,0.5882352941176471,0.38461538461538464,0.46511627906976744
C,Without first- or second-period grades,Naive baseline,3,0.6708860759493671,0.5,0.0,0.0,0.0
C,Without first- or second-period grades,Logistic Regression,3,0.7341772151898734,0.7235123367198839,0.5806451612903226,0.6923076923076923,0.631578947368421
C,Without first- or second-period grades,Decision Tree,3,0.5316455696202531,0.5921625544267054,0.39215686274509803,0.7692307692307693,0.5194805194805194
C,Without first- or second-period grades,Random Forest,3,0.6582278481012658,0.5983309143686503,0.4782608695652174,0.4230769230769231,0.4489795918367347
C,Without first- or second-period grades,Naive baseline,4,0.6708860759493671,0.5,0.0,0.0,0.0
C,Without first- or second-period grades,Logistic Regression,4,0.6329113924050633,0.5990566037735849,0.4482758620689655,0.5,0.4727272727272727
C,Without first- or second-period grades,Decision Tree,4,0.569620253164557,0.5714804063860668,0.39473684210526316,0.5769230769230769,0.46875
C,Without first- or second-period grades,Random Forest,4,0.6582278481012658,0.5983309143686503,0.4782608695652174,0.4230769230769231,0.4489795918367347
C,Without first- or second-period grades,Naive baseline,5,0.6708860759493671,0.5,0.0,0.0,0.0
C,Without first- or second-period grades,Logistic Regression,5,0.7341772151898734,0.7039187227866474,0.5925925925925926,0.6153846153846154,0.6037735849056604
C,Without first- or second-period grades,Decision Tree,5,0.7215189873417721,0.6650943396226415,0.5909090909090909,0.5,0.5416666666666666
C,Without first- or second-period grades,Random Forest,5,0.7215189873417721,0.6846879535558781,0.5769230769230769,0.5769230769230769,0.5769230769230769
